Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Random Forest,uci,sensor,SHAP,0.8357142857142857,0.8349293924466339,24,4
Random Forest,uci,sensor,SHAP,0.8285714285714286,0.8283384932920537,23,18
Random Forest,uci,sensor,SHAP,0.8357142857142857,0.8359706959706961,22,11
Random Forest,uci,sensor,SHAP,0.8285714285714286,0.8282161140556308,21,15
Random Forest,uci,sensor,SHAP,0.8214285714285714,0.820622083308276,20,8
Random Forest,uci,sensor,SHAP,0.8142857142857143,0.8135590757371014,19,10
Random Forest,uci,sensor,SHAP,0.8214285714285714,0.8207315523832623,18,14
Random Forest,uci,sensor,SHAP,0.8428571428571429,0.8430839336102494,17,16
Random Forest,uci,sensor,SHAP,0.8285714285714286,0.8280611812691191,16,3
Random Forest,uci,sensor,SHAP,0.85,0.8502307852662152,15,22
Random Forest,uci,sensor,SHAP,0.8142857142857143,0.8148364096371686,14,20
Random Forest,uci,sensor,SHAP,0.8285714285714286,0.8281532567049809,13,23
Random Forest,uci,sensor,SHAP,0.8,0.8005911800883994,12,6
Random Forest,uci,sensor,SHAP,0.8142857142857143,0.8144862603602897,11,2
Random Forest,uci,sensor,SHAP,0.8214285714285714,0.8212231759383407,10,13
Random Forest,uci,sensor,SHAP,0.85,0.8499361180003465,9,19
Random Forest,uci,sensor,SHAP,0.8214285714285714,0.8215703358736608,8,17
Random Forest,uci,sensor,SHAP,0.7785714285714286,0.7777265595297989,7,1
Random Forest,uci,sensor,SHAP,0.7785714285714286,0.7780820830356434,6,9
Random Forest,uci,sensor,SHAP,0.8,0.7996028611081456,5,21
Random Forest,uci,sensor,SHAP,0.6785714285714286,0.6766513546313961,4,5
Random Forest,uci,sensor,SHAP,0.6357142857142857,0.6359541081442609,3,12
Random Forest,uci,sensor,SHAP,0.5857142857142857,0.5867583728351458,2,7
Random Forest,uci,sensor,SHAP,0.4857142857142857,0.48498745188400355,1,0
