Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Decision Tree,wisdm,all,LIME,0.7714285714285715,0.7706066202099379,24,19
Decision Tree,wisdm,all,LIME,0.7642857142857142,0.7606131687687845,23,14
Decision Tree,wisdm,all,LIME,0.7642857142857142,0.7608822031292046,22,17
Decision Tree,wisdm,all,LIME,0.8,0.7971294884677131,21,15
Decision Tree,wisdm,all,LIME,0.7857142857142857,0.7846214704193463,20,21
Decision Tree,wisdm,all,LIME,0.7928571428571428,0.7910263018731388,19,8
Decision Tree,wisdm,all,LIME,0.75,0.7497792099295859,18,20
Decision Tree,wisdm,all,LIME,0.7785714285714286,0.7779189720030627,17,18
Decision Tree,wisdm,all,LIME,0.75,0.7491200402439793,16,13
Decision Tree,wisdm,all,LIME,0.7357142857142858,0.7357537105751392,15,22
Decision Tree,wisdm,all,LIME,0.8,0.7996685658593466,14,23
Decision Tree,wisdm,all,LIME,0.7785714285714286,0.7731861025111799,13,5
Decision Tree,wisdm,all,LIME,0.7785714285714286,0.7766328342296565,12,9
Decision Tree,wisdm,all,LIME,0.8,0.7982881966345861,11,11
Decision Tree,wisdm,all,LIME,0.8214285714285714,0.8211166158855349,10,16
Decision Tree,wisdm,all,LIME,0.8,0.7985938834464685,9,0
Decision Tree,wisdm,all,LIME,0.8,0.7993797745470571,8,12
Decision Tree,wisdm,all,LIME,0.7928571428571428,0.7924718616832833,7,6
Decision Tree,wisdm,all,LIME,0.7714285714285715,0.770936891754053,6,4
Decision Tree,wisdm,all,LIME,0.7714285714285715,0.7703728717720433,5,3
Decision Tree,wisdm,all,LIME,0.75,0.7507180991051958,4,7
Decision Tree,wisdm,all,LIME,0.7714285714285715,0.7693280857073962,3,2
Decision Tree,wisdm,all,LIME,0.8,0.7994446890415112,2,1
Decision Tree,wisdm,all,LIME,0.55,0.5485317985905676,1,10
