Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Decision Tree,wisdm,all,SHAP,0.7714285714285715,0.7706066202099379,24,14
Decision Tree,wisdm,all,SHAP,0.7785714285714286,0.7769014633602613,23,17
Decision Tree,wisdm,all,SHAP,0.7714285714285715,0.7684157611392577,22,12
Decision Tree,wisdm,all,SHAP,0.7857142857142857,0.7840589500108356,21,19
Decision Tree,wisdm,all,SHAP,0.7928571428571428,0.7919757735708606,20,3
Decision Tree,wisdm,all,SHAP,0.7857142857142857,0.7844007022163705,19,21
Decision Tree,wisdm,all,SHAP,0.7714285714285715,0.7700592544710192,18,20
Decision Tree,wisdm,all,SHAP,0.7785714285714286,0.777639055622249,17,13
Decision Tree,wisdm,all,SHAP,0.7785714285714286,0.7775003903200626,16,15
Decision Tree,wisdm,all,SHAP,0.7571428571428571,0.7556449481431917,15,9
Decision Tree,wisdm,all,SHAP,0.7642857142857142,0.7626383634580356,14,16
Decision Tree,wisdm,all,SHAP,0.75,0.7504103067016645,13,6
Decision Tree,wisdm,all,SHAP,0.7357142857142858,0.7342061824729892,12,11
Decision Tree,wisdm,all,SHAP,0.7857142857142857,0.7841148496952879,11,22
Decision Tree,wisdm,all,SHAP,0.7571428571428571,0.7573428159142445,10,2
Decision Tree,wisdm,all,SHAP,0.7357142857142858,0.7353806656762322,9,23
Decision Tree,wisdm,all,SHAP,0.7785714285714286,0.7767626452494873,8,5
Decision Tree,wisdm,all,SHAP,0.7571428571428571,0.7564973544973546,7,18
Decision Tree,wisdm,all,SHAP,0.8285714285714286,0.828098022834865,6,4
Decision Tree,wisdm,all,SHAP,0.7428571428571429,0.7412717292289104,5,8
Decision Tree,wisdm,all,SHAP,0.7428571428571429,0.7427040392557634,4,7
Decision Tree,wisdm,all,SHAP,0.7714285714285715,0.7707101979547801,3,0
Decision Tree,wisdm,all,SHAP,0.8,0.7994446890415112,2,1
Decision Tree,wisdm,all,SHAP,0.55,0.5485317985905676,1,10
