Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Decision Tree,wisdm,all,Tree,0.7714285714285715,0.7706066202099379,24,17
Decision Tree,wisdm,all,Tree,0.7714285714285715,0.7691866532691175,23,14
Decision Tree,wisdm,all,Tree,0.7714285714285715,0.7684157611392577,22,12
Decision Tree,wisdm,all,Tree,0.7857142857142857,0.7840589500108356,21,19
Decision Tree,wisdm,all,Tree,0.7928571428571428,0.7919757735708606,20,20
Decision Tree,wisdm,all,Tree,0.7571428571428571,0.7555310534929796,19,5
Decision Tree,wisdm,all,Tree,0.7642857142857142,0.7641970964631064,18,9
Decision Tree,wisdm,all,Tree,0.7571428571428571,0.7552548344574854,17,11
Decision Tree,wisdm,all,Tree,0.8214285714285714,0.8215263828167055,16,21
Decision Tree,wisdm,all,Tree,0.7928571428571428,0.7927050264550266,15,18
Decision Tree,wisdm,all,Tree,0.8071428571428572,0.8070612993563813,14,16
Decision Tree,wisdm,all,Tree,0.8071428571428572,0.8060971055088701,13,15
Decision Tree,wisdm,all,Tree,0.7928571428571428,0.7923584595842241,12,23
Decision Tree,wisdm,all,Tree,0.7785714285714286,0.777307076653899,11,2
Decision Tree,wisdm,all,Tree,0.8,0.7979557648503274,10,4
Decision Tree,wisdm,all,Tree,0.7714285714285715,0.7700765745511845,9,6
Decision Tree,wisdm,all,Tree,0.8,0.7972197159565583,8,13
Decision Tree,wisdm,all,Tree,0.8285714285714286,0.8268574589057763,7,3
Decision Tree,wisdm,all,Tree,0.7785714285714286,0.7757143631918514,6,7
Decision Tree,wisdm,all,Tree,0.7714285714285715,0.7690238213235536,5,22
Decision Tree,wisdm,all,Tree,0.7857142857142857,0.7844645250614939,4,8
Decision Tree,wisdm,all,Tree,0.7714285714285715,0.7707101979547801,3,0
Decision Tree,wisdm,all,Tree,0.8,0.7994446890415112,2,1
Decision Tree,wisdm,all,Tree,0.55,0.5485317985905676,1,10
