Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
KNN,wisdm,all,LIME,0.8071428571428572,0.8058615364604476,24,17
KNN,wisdm,all,LIME,0.8071428571428572,0.8058615364604476,23,18
KNN,wisdm,all,LIME,0.8071428571428572,0.8058615364604476,22,13
KNN,wisdm,all,LIME,0.8071428571428572,0.8058615364604476,21,12
KNN,wisdm,all,LIME,0.8071428571428572,0.8058615364604476,20,21
KNN,wisdm,all,LIME,0.8,0.7984635866593199,19,11
KNN,wisdm,all,LIME,0.8,0.7984635866593199,18,9
KNN,wisdm,all,LIME,0.8071428571428572,0.805552777530999,17,16
KNN,wisdm,all,LIME,0.8071428571428572,0.805552777530999,16,22
KNN,wisdm,all,LIME,0.8071428571428572,0.8049303195292307,15,14
KNN,wisdm,all,LIME,0.8071428571428572,0.8049303195292307,14,19
KNN,wisdm,all,LIME,0.8071428571428572,0.805552777530999,13,15
KNN,wisdm,all,LIME,0.8071428571428572,0.805552777530999,12,23
KNN,wisdm,all,LIME,0.8142857142857143,0.8125926658236805,11,20
KNN,wisdm,all,LIME,0.8142857142857143,0.8125926658236805,10,5
KNN,wisdm,all,LIME,0.8071428571428572,0.805552777530999,9,8
KNN,wisdm,all,LIME,0.8071428571428572,0.8049303195292307,8,10
KNN,wisdm,all,LIME,0.8214285714285714,0.8201416369474446,7,7
KNN,wisdm,all,LIME,0.8142857142857143,0.8118588351977932,6,6
KNN,wisdm,all,LIME,0.8142857142857143,0.8131727437716549,5,3
KNN,wisdm,all,LIME,0.8214285714285714,0.8204118010107122,4,4
KNN,wisdm,all,LIME,0.7928571428571428,0.7924866147816968,3,2
KNN,wisdm,all,LIME,0.7928571428571428,0.7926486540279644,2,1
KNN,wisdm,all,LIME,0.7,0.6970920830389808,1,0
