Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
SVM,wisdm,all,ORACLE,0.8,0.7994274470242692,24,11
SVM,wisdm,all,ORACLE,0.8,0.7994274470242692,23,21
SVM,wisdm,all,ORACLE,0.8,0.7994274470242692,22,20
SVM,wisdm,all,ORACLE,0.8,0.7994274470242692,21,19
SVM,wisdm,all,ORACLE,0.8,0.7994274470242692,20,18
SVM,wisdm,all,ORACLE,0.8,0.7994274470242692,19,17
SVM,wisdm,all,ORACLE,0.8,0.7994274470242692,18,16
SVM,wisdm,all,ORACLE,0.8,0.7994274470242692,17,15
SVM,wisdm,all,ORACLE,0.8,0.7994274470242692,16,14
SVM,wisdm,all,ORACLE,0.8,0.7994274470242692,15,13
SVM,wisdm,all,ORACLE,0.8,0.7994274470242692,14,12
SVM,wisdm,all,ORACLE,0.8,0.7994274470242692,13,23
SVM,wisdm,all,ORACLE,0.8,0.7994274470242692,12,10
SVM,wisdm,all,ORACLE,0.8,0.7994274470242692,11,9
SVM,wisdm,all,ORACLE,0.8,0.7994274470242692,10,8
SVM,wisdm,all,ORACLE,0.8,0.7994274470242692,9,7
SVM,wisdm,all,ORACLE,0.7857142857142857,0.785045695045695,8,6
SVM,wisdm,all,ORACLE,0.7857142857142857,0.785045695045695,7,5
SVM,wisdm,all,ORACLE,0.8,0.7991620808569961,6,4
SVM,wisdm,all,ORACLE,0.8071428571428572,0.8063492063492064,5,3
SVM,wisdm,all,ORACLE,0.8,0.7991620808569961,4,22
SVM,wisdm,all,ORACLE,0.7928571428571428,0.7914129931371312,3,0
SVM,wisdm,all,ORACLE,0.7142857142857143,0.6477693905928714,2,2
SVM,wisdm,all,ORACLE,0.5142857142857142,0.4588622069754146,1,1
