Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
SVM,wisdm,axis,ORACLE,0.7857142857142857,0.7857819142874998,24,8
SVM,wisdm,axis,ORACLE,0.8,0.800151532558585,23,12
SVM,wisdm,axis,ORACLE,0.8071428571428572,0.8075713820067645,22,16
SVM,wisdm,axis,ORACLE,0.7928571428571428,0.7934776566985203,21,20
SVM,wisdm,axis,ORACLE,0.7928571428571428,0.7937931239723974,20,15
SVM,wisdm,axis,ORACLE,0.7928571428571428,0.7937931239723974,19,6
SVM,wisdm,axis,ORACLE,0.7857142857142857,0.7857951497387288,18,7
SVM,wisdm,axis,ORACLE,0.7785714285714286,0.7788138614459651,17,14
SVM,wisdm,axis,ORACLE,0.7714285714285715,0.7718303652821411,16,13
SVM,wisdm,axis,ORACLE,0.7928571428571428,0.7944571986536302,15,0
SVM,wisdm,axis,ORACLE,0.8071428571428572,0.8080181075774423,14,21
SVM,wisdm,axis,ORACLE,0.8,0.8007877154205796,13,18
SVM,wisdm,axis,ORACLE,0.8,0.8007877154205796,12,23
SVM,wisdm,axis,ORACLE,0.8,0.8007877154205796,11,10
SVM,wisdm,axis,ORACLE,0.7928571428571428,0.7933363383667643,10,5
SVM,wisdm,axis,ORACLE,0.8071428571428572,0.8080181075774423,9,3
SVM,wisdm,axis,ORACLE,0.8071428571428572,0.8075391513484862,8,22
SVM,wisdm,axis,ORACLE,0.8,0.8007126053454694,7,9
SVM,wisdm,axis,ORACLE,0.8,0.8010234905029409,6,4
SVM,wisdm,axis,ORACLE,0.7714285714285715,0.7733682983682983,5,19
SVM,wisdm,axis,ORACLE,0.7285714285714285,0.7291439755510409,4,2
SVM,wisdm,axis,ORACLE,0.75,0.750983064554493,3,1
SVM,wisdm,axis,ORACLE,0.7142857142857143,0.711975114992907,2,11
SVM,wisdm,axis,ORACLE,0.4928571428571429,0.481930848440005,1,17
