Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Decision Tree,wisdm,sensor,SHAP,0.7714285714285715,0.7701659696235967,24,22
Decision Tree,wisdm,sensor,SHAP,0.7642857142857142,0.7625812807881773,23,23
Decision Tree,wisdm,sensor,SHAP,0.8,0.7980078807479277,22,5
Decision Tree,wisdm,sensor,SHAP,0.8142857142857143,0.8141497965934693,21,20
Decision Tree,wisdm,sensor,SHAP,0.7785714285714286,0.776734633221485,20,10
Decision Tree,wisdm,sensor,SHAP,0.8,0.7989406671759613,19,15
Decision Tree,wisdm,sensor,SHAP,0.8071428571428572,0.8065714521508079,18,2
Decision Tree,wisdm,sensor,SHAP,0.7571428571428571,0.7554746399835452,17,16
Decision Tree,wisdm,sensor,SHAP,0.7142857142857143,0.7131699879068301,16,9
Decision Tree,wisdm,sensor,SHAP,0.7857142857142857,0.7861745272271587,15,14
Decision Tree,wisdm,sensor,SHAP,0.7928571428571428,0.7918483076377812,14,12
Decision Tree,wisdm,sensor,SHAP,0.7785714285714286,0.7788032035672718,13,18
Decision Tree,wisdm,sensor,SHAP,0.7428571428571429,0.7417714525911248,12,17
Decision Tree,wisdm,sensor,SHAP,0.7714285714285715,0.7723002249674865,11,19
Decision Tree,wisdm,sensor,SHAP,0.7642857142857142,0.7618192284331797,10,8
Decision Tree,wisdm,sensor,SHAP,0.7785714285714286,0.7757752234993613,9,11
Decision Tree,wisdm,sensor,SHAP,0.7642857142857142,0.7650572895611722,8,3
Decision Tree,wisdm,sensor,SHAP,0.7214285714285714,0.718807179551174,7,21
Decision Tree,wisdm,sensor,SHAP,0.7785714285714286,0.7791211870812356,6,4
Decision Tree,wisdm,sensor,SHAP,0.7428571428571429,0.7444304682040531,5,13
Decision Tree,wisdm,sensor,SHAP,0.7571428571428571,0.7560226199852266,4,7
Decision Tree,wisdm,sensor,SHAP,0.7714285714285715,0.7704058125110758,3,1
Decision Tree,wisdm,sensor,SHAP,0.6785714285714286,0.6795284189127287,2,6
Decision Tree,wisdm,sensor,SHAP,0.5857142857142857,0.5846884309831182,1,0
