Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Decision Tree,wisdm,sensor,Tree,0.7714285714285715,0.7701659696235967,24,22
Decision Tree,wisdm,sensor,Tree,0.7642857142857142,0.7625812807881773,23,10
Decision Tree,wisdm,sensor,Tree,0.8,0.7992337672830612,22,5
Decision Tree,wisdm,sensor,Tree,0.7642857142857142,0.7616017401995555,21,15
Decision Tree,wisdm,sensor,Tree,0.7928571428571428,0.7920531508921511,20,23
Decision Tree,wisdm,sensor,Tree,0.8071428571428572,0.8055010242878581,19,18
Decision Tree,wisdm,sensor,Tree,0.8285714285714286,0.8263161605324247,18,9
Decision Tree,wisdm,sensor,Tree,0.8,0.7976901545561466,17,2
Decision Tree,wisdm,sensor,Tree,0.7714285714285715,0.7693217718626068,16,21
Decision Tree,wisdm,sensor,Tree,0.7571428571428571,0.7568489405331511,15,20
Decision Tree,wisdm,sensor,Tree,0.7571428571428571,0.7566300366300367,14,11
Decision Tree,wisdm,sensor,Tree,0.7571428571428571,0.7560955876385449,13,14
Decision Tree,wisdm,sensor,Tree,0.7285714285714285,0.7268588662431761,12,16
Decision Tree,wisdm,sensor,Tree,0.7642857142857142,0.7650256397714025,11,8
Decision Tree,wisdm,sensor,Tree,0.7785714285714286,0.7791472517056202,10,3
Decision Tree,wisdm,sensor,Tree,0.7428571428571429,0.7431392456264537,9,19
Decision Tree,wisdm,sensor,Tree,0.7785714285714286,0.7782910269653404,8,12
Decision Tree,wisdm,sensor,Tree,0.7928571428571428,0.7919345515984173,7,13
Decision Tree,wisdm,sensor,Tree,0.7142857142857143,0.713233886856178,6,7
Decision Tree,wisdm,sensor,Tree,0.75,0.7497938351125365,5,17
Decision Tree,wisdm,sensor,Tree,0.7714285714285715,0.7703174603174603,4,1
Decision Tree,wisdm,sensor,Tree,0.7142857142857143,0.7114033277402412,3,4
Decision Tree,wisdm,sensor,Tree,0.6785714285714286,0.6795284189127287,2,6
Decision Tree,wisdm,sensor,Tree,0.5857142857142857,0.5846884309831182,1,0
