Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
KNN,wisdm,sensor,LIME,0.8,0.7995940556423732,24,8
KNN,wisdm,sensor,LIME,0.8,0.7995940556423732,23,22
KNN,wisdm,sensor,LIME,0.8071428571428572,0.8068379228862405,22,11
KNN,wisdm,sensor,LIME,0.7928571428571428,0.7922876583359758,21,10
KNN,wisdm,sensor,LIME,0.7928571428571428,0.7922876583359758,20,9
KNN,wisdm,sensor,LIME,0.7928571428571428,0.7922876583359758,19,2
KNN,wisdm,sensor,LIME,0.8,0.799323287134133,18,17
KNN,wisdm,sensor,LIME,0.8071428571428572,0.8065045001246807,17,20
KNN,wisdm,sensor,LIME,0.8,0.799323287134133,16,7
KNN,wisdm,sensor,LIME,0.8,0.799323287134133,15,5
KNN,wisdm,sensor,LIME,0.7928571428571428,0.7919397864537109,14,6
KNN,wisdm,sensor,LIME,0.7857142857142857,0.7837346925230568,13,19
KNN,wisdm,sensor,LIME,0.8071428571428572,0.8062493948145633,12,21
KNN,wisdm,sensor,LIME,0.8071428571428572,0.8062493948145633,11,18
KNN,wisdm,sensor,LIME,0.7857142857142857,0.7849464296066891,10,15
KNN,wisdm,sensor,LIME,0.8071428571428572,0.8065281942657554,9,16
KNN,wisdm,sensor,LIME,0.8071428571428572,0.806667330331854,8,4
KNN,wisdm,sensor,LIME,0.7928571428571428,0.7912533749166972,7,14
KNN,wisdm,sensor,LIME,0.7857142857142857,0.7829325665363058,6,23
KNN,wisdm,sensor,LIME,0.7714285714285715,0.769781512605042,5,3
KNN,wisdm,sensor,LIME,0.7642857142857142,0.7628934990083421,4,13
KNN,wisdm,sensor,LIME,0.75,0.751884612552104,3,1
KNN,wisdm,sensor,LIME,0.6357142857142857,0.6356700770493874,2,0
KNN,wisdm,sensor,LIME,0.6,0.5980574685596256,1,12
