Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
KNN,wisdm,sensor,ORACLE,0.8,0.7995940556423732,24,15
KNN,wisdm,sensor,ORACLE,0.8214285714285714,0.8214877589453862,23,20
KNN,wisdm,sensor,ORACLE,0.8142857142857143,0.8142438917015189,22,2
KNN,wisdm,sensor,ORACLE,0.8214285714285714,0.8212746512746513,21,19
KNN,wisdm,sensor,ORACLE,0.8214285714285714,0.821218092252575,20,4
KNN,wisdm,sensor,ORACLE,0.8071428571428572,0.8061123983964104,19,18
KNN,wisdm,sensor,ORACLE,0.8214285714285714,0.8206626629466749,18,17
KNN,wisdm,sensor,ORACLE,0.8142857142857143,0.813293611386958,17,22
KNN,wisdm,sensor,ORACLE,0.8142857142857143,0.813293611386958,16,12
KNN,wisdm,sensor,ORACLE,0.8142857142857143,0.8134282866572387,15,13
KNN,wisdm,sensor,ORACLE,0.7785714285714286,0.7786967935698164,14,14
KNN,wisdm,sensor,ORACLE,0.7714285714285715,0.773339396666812,13,23
KNN,wisdm,sensor,ORACLE,0.8142857142857143,0.8141466257074244,12,5
KNN,wisdm,sensor,ORACLE,0.8142857142857143,0.8141466257074244,11,8
KNN,wisdm,sensor,ORACLE,0.8142857142857143,0.8141466257074244,10,9
KNN,wisdm,sensor,ORACLE,0.8142857142857143,0.8141466257074244,9,16
KNN,wisdm,sensor,ORACLE,0.8071428571428572,0.8067361800728235,8,11
KNN,wisdm,sensor,ORACLE,0.8142857142857143,0.8145056036317208,7,7
KNN,wisdm,sensor,ORACLE,0.8,0.8003831417624522,6,6
KNN,wisdm,sensor,ORACLE,0.7928571428571428,0.7930432846040831,5,3
KNN,wisdm,sensor,ORACLE,0.8,0.7995111432776592,4,10
KNN,wisdm,sensor,ORACLE,0.8142857142857143,0.8139360945447155,3,1
KNN,wisdm,sensor,ORACLE,0.6428571428571429,0.6445076506892073,2,21
KNN,wisdm,sensor,ORACLE,0.6285714285714286,0.6309694209499023,1,0
