Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Random Forest,wisdm,sensor,LIME,0.8285714285714286,0.8273461277208349,24,2
Random Forest,wisdm,sensor,LIME,0.8571428571428571,0.8561903301319012,23,22
Random Forest,wisdm,sensor,LIME,0.8357142857142857,0.8352548415359979,22,11
Random Forest,wisdm,sensor,LIME,0.85,0.8500623723574542,21,3
Random Forest,wisdm,sensor,LIME,0.8642857142857143,0.8629973095910692,20,8
Random Forest,wisdm,sensor,LIME,0.8428571428571429,0.8418657719815424,19,15
Random Forest,wisdm,sensor,LIME,0.8428571428571429,0.8424942363378151,18,19
Random Forest,wisdm,sensor,LIME,0.85,0.8489306469400146,17,21
Random Forest,wisdm,sensor,LIME,0.85,0.8489432986855855,16,4
Random Forest,wisdm,sensor,LIME,0.8642857142857143,0.863325274603963,15,20
Random Forest,wisdm,sensor,LIME,0.8285714285714286,0.8283923386874207,14,10
Random Forest,wisdm,sensor,LIME,0.8571428571428571,0.8563782991202344,13,23
Random Forest,wisdm,sensor,LIME,0.8285714285714286,0.8279882982833803,12,14
Random Forest,wisdm,sensor,LIME,0.8214285714285714,0.8208717977092901,11,6
Random Forest,wisdm,sensor,LIME,0.8357142857142857,0.8348293049357076,10,13
Random Forest,wisdm,sensor,LIME,0.8357142857142857,0.8347547668979924,9,16
Random Forest,wisdm,sensor,LIME,0.85,0.849404457076602,8,17
Random Forest,wisdm,sensor,LIME,0.8142857142857143,0.8132166817183197,7,5
Random Forest,wisdm,sensor,LIME,0.85,0.8494959716023743,6,18
Random Forest,wisdm,sensor,LIME,0.8428571428571429,0.8426474544620108,5,7
Random Forest,wisdm,sensor,LIME,0.7857142857142857,0.7811621981625055,4,1
Random Forest,wisdm,sensor,LIME,0.75,0.7496925133689839,3,9
Random Forest,wisdm,sensor,LIME,0.7,0.7026396452393193,2,12
Random Forest,wisdm,sensor,LIME,0.5857142857142857,0.5846884309831182,1,0
