Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
SVM,wisdm,sensor,ORACLE,0.7428571428571429,0.7395016439770659,24,0
SVM,wisdm,sensor,ORACLE,0.7571428571428571,0.7539187211527637,23,21
SVM,wisdm,sensor,ORACLE,0.7642857142857142,0.7604905682079596,22,2
SVM,wisdm,sensor,ORACLE,0.7642857142857142,0.7604905682079596,21,3
SVM,wisdm,sensor,ORACLE,0.75,0.7469181911341345,20,19
SVM,wisdm,sensor,ORACLE,0.7285714285714285,0.7275939223701372,19,18
SVM,wisdm,sensor,ORACLE,0.7285714285714285,0.7292009817436762,18,7
SVM,wisdm,sensor,ORACLE,0.7285714285714285,0.7275939223701372,17,20
SVM,wisdm,sensor,ORACLE,0.7357142857142858,0.7341444612032847,16,17
SVM,wisdm,sensor,ORACLE,0.7357142857142858,0.7341444612032847,15,16
SVM,wisdm,sensor,ORACLE,0.7357142857142858,0.7341444612032847,14,15
SVM,wisdm,sensor,ORACLE,0.7357142857142858,0.7341444612032847,13,14
SVM,wisdm,sensor,ORACLE,0.7357142857142858,0.7341444612032847,12,11
SVM,wisdm,sensor,ORACLE,0.7357142857142858,0.7341444612032847,11,22
SVM,wisdm,sensor,ORACLE,0.7285714285714285,0.7275275421335354,10,10
SVM,wisdm,sensor,ORACLE,0.7357142857142858,0.734069888675882,9,9
SVM,wisdm,sensor,ORACLE,0.7357142857142858,0.734069888675882,8,8
SVM,wisdm,sensor,ORACLE,0.7357142857142858,0.734069888675882,7,6
SVM,wisdm,sensor,ORACLE,0.7285714285714285,0.7253450141058148,6,5
SVM,wisdm,sensor,ORACLE,0.7285714285714285,0.7253450141058148,5,4
SVM,wisdm,sensor,ORACLE,0.7,0.691301381545284,4,12
SVM,wisdm,sensor,ORACLE,0.7,0.6875471040211205,3,23
SVM,wisdm,sensor,ORACLE,0.7,0.6912453754168166,2,13
SVM,wisdm,sensor,ORACLE,0.6,0.6012049338871802,1,1
